Odometry Data Logging:
 Format 
 Double x; 
 Double y; 
 Double z; 

[0, 0, 0;
 2.0553639, -59.744015, 4.5452628;
 1.9983077, -59.822407, 4.5282574;
 1.8246596, -60.138115, 4.5564137;
 1.7356839, -60.383205, 4.5597758;
 1.7755351, -60.69577, 4.5705857;
 1.8380742, -61.229107, 4.6067586;
 2.0380774, -61.557919, 4.610805;
 2.0694752, -61.862694, 4.6198888;
 2.1773579, -62.472736, 4.6770854;
 2.1688697, -62.976906, 4.7259364;
 2.2604051, -63.119061, 4.7431412;
 2.3284738, -63.290394, 4.7643423;
 2.3709347, -63.60413, 4.7753673;
 2.4207335, -64.029892, 4.8141131;
 2.4929707, -64.369232, 4.8403492;
 2.4189906, -64.991783, 4.8426385;
 2.5611203, -65.493111, 4.8433065;
 2.348021, -65.88913, 4.7967;
 2.3862886, -66.195114, 4.7865329;
 1.7934678, -66.745506, 4.7705846;
 1.4841825, -67.696281, 4.8278947;
 1.3796558, -67.798111, 4.8522906;
 1.2432754, -67.711922, 4.8602734;
 1.0230968, -67.772873, 4.8421502;
 0.81477934, -67.733063, 4.9810562;
 0.56567556, -67.834557, 4.9437933;
 0.48976454, -68.115479, 4.9298205;
 0.46456978, -68.215759, 4.9610877;
 0.41429928, -68.335579, 4.9795227;
 0.5789181, -68.911507, 5.0176177;
 0.54435742, -69.129723, 5.0624242;
 0.52702916, -69.237099, 5.0869327;
 0.53697902, -69.374252, 5.1117392;
 0.55361748, -69.571381, 5.1251087;
 0.46688309, -69.775177, 5.1239142;
 0.52687997, -69.964012, 5.1460791;
 0.51022547, -70.170204, 5.1745114;
 0.45954707, -70.253906, 5.1825557;
 0.43159884, -70.333153, 5.1957917;
 0.60195345, -70.605614, 5.2109032;
 0.60280228, -70.601646, 5.2281866;
 0.8245945, -70.761337, 5.2223434;
 0.75823659, -70.840012, 5.2359591;
 0.76720262, -70.833939, 5.2302275;
 0.73147416, -70.935204, 5.2375917;
 0.73078352, -71.078987, 5.2345877;
 0.84440172, -71.088936, 5.240449;
 1.0729929, -71.395973, 5.233501;
 1.1742665, -71.705299, 5.2756968;
 1.1380047, -71.664078, 5.262805;
 1.0754919, -71.633247, 5.240015;
 0.87474102, -71.904541, 5.2272806;
 0.93263537, -72.072388, 5.2011085;
 1.8581773, -72.884506, 5.3945923;
 1.8388761, -72.899246, 5.3532705;
 1.8404186, -73.236664, 5.3858519;
 1.8205088, -73.28614, 5.3949337;
 1.765749, -73.478355, 5.4174318;
 1.7796878, -73.427116, 5.4169149;
 1.6494032, -73.616508, 5.422925;
 1.4749167, -73.702858, 5.3582587;
 1.5158385, -73.731186, 5.3723888;
 1.4640765, -73.72567, 5.3263297;
 1.3272625, -73.795784, 5.3006811;
 1.3150865, -73.787346, 5.2865758;
 1.239859, -73.752396, 5.2763906;
 1.1710258, -73.885757, 5.2815146;
 1.0280489, -73.84964, 5.2717834;
 0.93719977, -73.841156, 5.2717619;
 0.71684343, -74.053635, 5.3117146;
 0.85313714, -74.007401, 5.3323064;
 0.82219326, -73.968468, 5.3260665;
 0.74478573, -74.245888, 5.3502631;
 0.65581286, -74.296715, 5.3473687;
 0.28991005, -74.452011, 5.3307252;
 0.32677242, -74.587875, 5.3572249;
 0.090718798, -74.733833, 5.3651223;
 -0.0020615549, -75.089378, 5.4030371;
 -0.59509164, -75.884445, 5.4748497;
 -0.67024648, -75.935028, 5.4705977;
 -0.65428513, -75.92205, 5.4598112;
 -0.76021552, -75.928375, 5.4265451;
 -0.86012882, -76.050407, 5.435832;
 -0.87720692, -76.069962, 5.4076324;
 -1.1651413, -76.150116, 5.4016109;
 -1.4029574, -76.161674, 5.3701863;
 -1.6577947, -76.479515, 5.3734488;
